title,ML_precision,ML_recall,ML_f1_score,opencv_basic_method_precision,opencv_basic_method_recall,opencv_basic_method_f1_score,opencv_advanced_method_precision,opencv_advanced_method_recall,opencv_advanced_method_f1_score
JOLIVET_BOSTONPOLICEAFFAIREPRADI_053,0.9574819186916291,0.9692175107547792,0.9633139737770638,0.16302607368548558,0.5520952165910276,0.2517220971747904,0.5113151999955213,0.863778707487738,0.6423753027592299
JOLIVET_BOSTONPOLICEAFFAIREPRADI_077,0.8171100702266676,0.8786055515104157,0.8467427376304812,0.09650600420124272,0.8780550178479462,0.17389897466488086,0.18972669420245244,0.753108739277913,0.30309601528388175
JOLIVET_BOSTONPOLICEAFFAIREPRADI_087,0.9691313683985298,0.9799986283890623,0.9745347035084121,0.07846494056115409,0.2194529204204857,0.11559803967460877,0.49492461586853853,0.8419797948185948,0.623405118852862
LAMISSEB_ETPISTAF_005,0.9142748732959319,0.935237039090657,0.9246371647457069,0.351005984486286,0.8894649293041309,0.5033693409584775,0.735290256517972,0.7764069864153036,0.7552894534568549
LAMISSEB_ETPISTAF_009,0.8445240778026118,0.8934398999472378,0.868293609343842,0.5093638664916558,0.8493346100482676,0.6368158475029486,0.6376713258243996,0.27547730248373165,0.3847434497816594
LAMISSEB_ETPISTAF_013,0.9562459739358803,0.9151393005334914,0.9352411645686176,0.3649902585609088,0.7862240663900415,0.4985416165503969,0.5352341913316053,0.21052756372258447,0.3021918181199374
LAMISSEB_ETPISTAF_017,0.9677484581943181,0.950593376036546,0.959094211066857,0.3521566052447983,0.8521773672972839,0.49836655873854785,0.0,0.0,0.0
LAMISSEB_ETPISTAF_021,0.5967526194545589,0.9105907699285634,0.7210001795654516,0.1774231575812476,0.8106361265449598,0.2911275133621787,0.414300518134715,0.22666969044109309,0.29302257402521253
LAMISSEB_LESNOEILS1_008,0.9527187411106357,0.9546195964589561,0.9536682215875987,0.9999965960401735,0.7036447554993485,0.8260451763336354,0.25257855179867655,0.8617198877136506,0.3906529051410813
LAMISSEB_LESNOEILS1_012,0.9375655431676643,0.9776669604281754,0.9571964271386989,0.9954678396963923,0.6822163231089998,0.8095974491829414,0.45380208333333333,0.8427766910990263,0.5899430497355612
